# 学习率0.0005，bs=128，负样本64，维度1024，gam=4,6，正则0.001，数据集WN18RR，温度0.5，逆关系，包含头部替换
18	0.2875	0.2184	0.3178	0.4237
19	0.3015	0.2308	0.3327	0.4392
20	0.3128	0.2396	0.3465	0.4550
21	0.3220	0.2462	0.3569	0.4680
22	0.3314	0.2551	0.3674	0.4774
23	0.3383	0.2608	0.3726	0.4896
24	0.3443	0.2651	0.3795	0.4969
25	0.3512	0.2713	0.3873	0.5075
26	0.3563	0.2750	0.3930	0.5140
27	0.3609	0.2794	0.3980	0.5195
28	0.3664	0.2849	0.4025	0.5252
29	0.3704	0.2878	0.4064	0.5308
30	0.3732	0.2896	0.4106	0.5366
31	0.3769	0.2930	0.4144	0.5406
32	0.3800	0.2955	0.4173	0.5447
33	0.3822	0.2978	0.4189	0.5484
34	0.3848	0.2993	0.4212	0.5522
35	0.3868	0.3011	0.4233	0.5563
36	0.3901	0.3041	0.4284	0.5599
37	0.3925	0.3059	0.4304	0.5630
38	0.3928	0.3053	0.4292	0.5654
39	0.3944	0.3063	0.4325	0.5684
40	0.3970	0.3087	0.4353	0.5700
41	0.3988	0.3095	0.4378	0.5739
43	0.4017	0.3132	0.4394	0.5786
44	0.4020	0.3126	0.4415	0.5802
45	0.4040	0.3150	0.4423	0.5814
46	0.4041	0.3132	0.4452	0.5833
47	0.4049	0.3140	0.4442	0.5859
48	0.4074	0.3172	0.4477	0.5868
50	0.4081	0.3167	0.4471	0.5881
51	0.4087	0.3177	0.4485	0.5886
52	0.4087	0.3169	0.4487	0.5913
53	0.4103	0.3188	0.4488	0.5935
55	0.4120	0.3201	0.4518	0.5953
57	0.4124	0.3197	0.4531	0.5971
59	0.4131	0.3190	0.4549	0.6001
60	0.4141	0.3210	0.4546	0.5990
61	0.4141	0.3207	0.4538	0.6017
63	0.4146	0.3214	0.4539	0.6040
67	0.4153	0.3201	0.4555	0.6059
69	0.4150	0.3196	0.4574	0.6060
71	0.4152	0.3190	0.4569	0.6067
73	0.4158	0.3202	0.4572	0.6083
74	0.4163	0.3211	0.4572	0.6077
75	0.4168	0.3211	0.4589	0.6074
78	0.4168	0.3210	0.4577	0.6097
80	0.4171	0.3209	0.4590	0.6095
83	0.4173	0.3202	0.4598	0.6094
84	0.4179	0.3214	0.4605	0.6114
97	0.4184	0.3205	0.4613	0.6141
99	0.4196	0.3227	0.4613	0.6131
112	0.4194	0.3211	0.4614	0.6158
126	0.4197	0.3210	0.4624	0.6170

#fb-rotate，反向关系
2	0.0048	0.0043	0.0044	0.0047
4	0.0211	0.0108	0.0188	0.0368
6	0.0937	0.0632	0.0996	0.1527
8	0.1727	0.1227	0.1885	0.2691
10	0.2245	0.1639	0.2451	0.3440
12	0.2528	0.1847	0.2760	0.3880
14	0.2701	0.1974	0.2943	0.4161
16	0.2826	0.2060	0.3089	0.4337
18	0.2932	0.2139	0.3211	0.4499
20	0.2999	0.2178	0.3285	0.4621
22	0.3050	0.2207	0.3355	0.4728
24	0.3100	0.2243	0.3416	0.4807
26	0.3140	0.2274	0.3460	0.4863
28	0.3157	0.2282	0.3470	0.4928
30	0.3173	0.2290	0.3491	0.4962
32	0.3194	0.2300	0.3526	0.4974
34	0.3204	0.2307	0.3527	0.5004
36	0.3209	0.2310	0.3533	0.5023
38	0.3222	0.2320	0.3541	0.5045
40	0.3227	0.2315	0.3549	0.5055
42	0.3231	0.2320	0.3553	0.5084
44	0.3237	0.2330	0.3551	0.5078
46	0.3244	0.2334	0.3566	0.5092
48	0.3250	0.2338	0.3567	0.5115
50	0.3249	0.2325	0.3583	0.5128
56	0.3261	0.2335	0.3593	0.5144
60	0.3267	0.2347	0.3583	0.5129
70	0.3266	0.2329	0.3586	0.5151
72	0.3264	0.2332	0.3590	0.5150
76	0.3260	0.2316	0.3607	0.5163
78	0.3265	0.2315	0.3599	0.5181
84	0.3267	0.2323	0.3605	0.5178
86	0.3272	0.2334	0.3614	0.5180
94	0.3272	0.2323	0.3613	0.5196
102	0.3270	0.2314	0.3615	0.5210
104	0.3277	0.2327	0.3612	0.5209

Quate +3:
5	0.2986	0.2189	0.3258	0.4553
2	0.2498	0.1841	0.2705	0.3780
4	0.2896	0.2147	0.3145	0.4377
6	0.3028	0.2205	0.3297	0.4665

Quate +0:
2	0.2509	0.1843	0.2737	0.3797
4	0.2831	0.2060	0.3097	0.4356

# wn18rr-rotate，反向关系，num_ng: 64,bs: 512,emb_dim: 1024,lr: 0.0001,reg: 0.001,高分过滤0.85,gamma=6
2	0.0001	0.0000	0.0000	0.0000

# wn18rr-complex，反向关系，num_ng: 32,bs: 256,emb_dim: 1024,reg: 0.001,高分过滤0.8,负样本+18，正样本-6
